新系统供应商编码,_month,下单金额,prev3_mean,spike_ratio
V1407234,2016-03,425669.0,44097.0,9.653014944327278
V1409015,2017-04,1519651.41,157469.19333333315,9.65046799206737
V1511009,2017-04,10088.8,1060.9733333333334,9.509004310507333
V1407412,2016-12,20920.5,2206.6666666666665,9.48058912386707
V1408079,2016-05,16991.5,1800.0,9.439722222222223
V1506128,2017-08,400831.1,42579.6,9.413688714783605
V1703028,2017-06,131985.98,14058.5,9.388340150087137
V1609010,2017-10,150193.1,16086.0,9.336883003854284
V1602010,2017-05,3168.0,343.6666666666667,9.21823472356935
V1408337,2016-05,1930.0,210.0,9.19047619047619
V1604016,2016-08,12696.2,1400.0,9.068714285714286
V1507350,2016-05,66935.0,7510.0,8.912782956058589
V1408469,2016-12,18332.0,2064.0,8.881782945736434
V1601031,2016-10,278293.6,31349.5,8.877130416753058
V1409102,2016-04,28910.0,3300.0,8.76060606060606
V1407422,2016-09,63000.0,7200.0,8.75
V1506107,2016-11,77788.8,8891.333333333334,8.748834070630576
V1407818,2016-11,1287300.0,147676.66666666666,8.717016906304314
V1506105,2016-05,7000.0,805.0,8.695652173913043
V1407775,2017-10,125824.0,14850.0,8.472996632996633
V1407324,2016-12,7550.0,900.0,8.38888888888889
V1607021,2017-06,78258.45,9358.466666666667,8.362315407794723
V1407823,2017-10,101475.5,12210.113333333333,8.310774620164596
V1506102,2017-06,6155.0,743.3333333333334,8.280269058295964
V1607018,2018-03,9700.17,1182.7366666666665,8.201462145701637
V1407621,2017-01,1599.0,195.0,8.2
V1803003,2017-01,1599.0,195.0,8.2
V1408062,2016-04,47776.808,5866.0,8.144699624957381
V1407307,2016-03,15213.0,1870.5,8.133119486768244
V1408069,2017-04,1220967.3,150252.33333333334,8.126112073689372
V1407862,2016-03,1320.0,165.0,8.0
V1408111,2016-10,61179.2,7689.65,7.956044813483058
V1609018,2016-12,6548.68,829.285,7.896778550196857
V1407161,2016-02,68816.1,8719.3,7.892388150424921
V1407679,2017-04,3290.0,418.3333333333333,7.864541832669323
V1506001,2016-05,53000.0,6800.0,7.794117647058823
V1407365,2016-04,4960.0,640.0,7.75
V1605012,2016-08,69630.0,9108.333333333334,7.644647758462946
V1705007,2017-06,81443.0,10709.6,7.604672443415254
V1407823,2017-09,29440.0,3871.78,7.603737815681676
V1505025,2016-09,15048.0,2006.4000000000003,7.499999999999999
V1504069,2016-04,106603.2,14289.733333333332,7.460125218105307
V1511015,2016-11,150687.61,20328.766666666666,7.412530847091888
V1603008,2016-12,16855.5,2276.0,7.405755711775044
V1605007,2016-09,14336.6,1940.0,7.390000000000001
V1409061,2016-11,117627.54,15952.04,7.373824288304191
V1606008,2017-04,2726.11,370.8333333333333,7.35130786516854
V1605044,2016-06,6120.0,846.0,7.23404255319149
V1408235,2016-03,5200.0,723.2,7.1902654867256635
V1504066,2017-12,19122.8,2675.3333333333326,7.147819586344382
V1612011,2017-02,45992.4,6473.0,7.1052680364591385
V1506123,2016-12,80584.63,11405.93,7.065152074403403
V1512020,2016-08,42455.0,6024.333333333333,7.047252808056217
V1407788,2017-06,14170.0,2023.3333333333333,7.003294892915981
V1505061,2016-12,68596.3,9807.300000000001,6.994412325512628
V1709029,2017-12,7809.0,1120.0,6.972321428571429
V1407274,2016-02,16040.0,2310.0,6.9437229437229435
V1407274,2016-10,27716.0,4001.6666666666665,6.926114119117035
V1408182,2016-03,7343.0,1068.75,6.870643274853801
V1407224,2017-10,14373.0,2092.6666666666665,6.868270149729214
V1703025,2017-05,51845.85,7580.1,6.839731665809158
V1407788,2017-05,4320.0,633.3333333333334,6.821052631578947
V1502024,2016-11,140575.07,20661.076666666657,6.803859850478915
