CUSTOMER_CODE,DELIVERY_CODE,total_amount,order_date,z
C0018600,LG1601051840,232542.0,2016-07-06,2.0553967527774293
C0018600,LG1601051843,165580.0,2016-07-06,1.3020012549232207
C0018600,LG1602016114,133920.0,2016-07-06,0.9457917411383243
C0018600,LG1603072328,682580.0,2016-07-06,7.118814856527499
C0018600,LG1606049301,318230.0,2016-09-23,3.0194801645651803
C0018600,LG1608055953,132000.0,2016-10-27,0.9241896480724052
C0018600,LG1608055980,179000.0,2016-10-27,1.452990884581885
C0018600,LG1608060981,180000.0,2016-10-27,1.4642419747203845
C0018600,LG1608066881,249515.0,2016-10-27,2.2463615056981823
C0018600,LG1609050688,385772.855,2016-11-01,3.7794109143817867
C0018600,LG1612030302,-96000.0,2017-03-01,-1.6410589035054972
C0018600,LG1703038857,220440.0,2017-05-16,1.9192360599213072
C0018600,LG1705009545,-62970.0,2017-05-16,-1.2694353962308562
C0018600,LG1705009547,-81190.0,2017-05-16,-1.4744302585543185
C0018600,LG1705009586,-65980.0,2017-05-16,-1.3033011775477399
C0018600,LG1705009588,-66570.0,2017-05-16,-1.3099393207294547
C0021600,LG1512065442,93600.0,2016-01-30,2.145171612606046
C0021600,LG1610010029,111272.0,2016-10-26,2.763250504442436
C0021600,LG1612012119,92868.0,2017-01-18,2.119569883949174
C0021600,LG1612012130,88720.0,2017-01-18,1.9744934215602339
C0021600,LG1612040035,148942.0,2017-01-18,4.0807602291751675
C0026800,LG1611056700,431100.0,2016-12-26,2.4066407098434537
C0026900,LG1512068287,175700.0,2016-03-12,2.1810468655641966
C0026900,LG1603028183,147400.0,2016-04-13,1.6726762489824767
C0026900,LG1603039477,219250.0,2016-04-13,2.9633627790671615
C0026900,LG1604014720,166250.0,2016-05-13,2.011290599603163
C0026900,LG1604023063,398100.0,2016-05-16,6.176157294107466
C0026900,LG1604023069,498150.0,2016-05-16,7.973418078171109
C0026900,LG1604024974,190000.0,2016-05-12,2.4379267177592
C0026900,LG1604046561,159000.0,2016-05-13,1.881054310902899
