新系统供应商编码,_month,一级分类,下单金额,占比
V1407598,2017-12,服务类,29901.3,1.0
V1407601,2016-03,服务类,47520.45,1.0
V1407611,2017-10,服务类,184741.75,1.0
V1407621,2017-01,服务用品,1599.0,1.0
V1407621,2017-09,服务用品,2236.0,1.0
V1407623,2016-03,特色商品,3981.1,0.11595042886892193
V1407623,2016-03,食品饮料,30353.4,0.8840495711310781
V1407641,2016-03,五金电气,5786.0,0.06575298877221691
V1407641,2016-03,办公,1887.0,0.02144415655257057
V1407641,2016-03,印刷,50.0,0.0005682076458020819
V1407641,2016-03,家具,800.0,0.00909132233283331
V1407641,2016-03,服务用品,13363.0,0.15185917541706442
V1407641,2016-03,服务类,60075.0,0.6827014864312014
V1407641,2016-03,消防安防,2900.0,0.03295604345652075
V1407641,2016-03,运营电器,640.0,0.007273057866266648
V1407641,2016-03,门锁系统,1200.0,0.013636983499249966
V1407641,2016-03,鞋服配饰,1255.0,0.014262011909632256
V1407641,2016-03,餐具厨具,40.0,0.0004545661166416655
V1407641,2017-03,五金电气,2970.0,0.12165151142786926
V1407641,2017-03,办公,332.0,0.01359875481281232
V1407641,2017-03,服务用品,7485.0,0.30658638486114526
V1407641,2017-03,服务类,10667.0,0.4369214385188826
V1407641,2017-03,消防安防,1540.0,0.06307856148111739
V1407641,2017-03,鞋服配饰,1420.0,0.05816334889817318
V1407641,2017-04,五金电气,27696.0,0.46569187931289596
V1407641,2017-04,办公,80.0,0.0013451527420938647
V1407641,2017-04,服务用品,2788.0,0.046878573061971185
V1407641,2017-04,服务类,13658.8,0.22966465342139597
V1407641,2017-04,消防安防,1170.0,0.019672858853122772
V1407641,2017-04,运营电器,12980.0,0.21825103240472954
V1407641,2017-04,鞋服配饰,1100.0,0.01849585020379064
V1407679,2017-04,服务类,250.0,0.07598784194528875
V1407679,2017-04,消防安防,3040.0,0.9240121580547113
V1407703,2016-07,VI,37380.0,1.0
V1407703,2016-09,VI,54872.55,0.6694505258547542
V1407703,2016-09,印刷,26214.0,0.3198133872903032
V1407703,2016-09,服务用品,200.0,0.0024400197397596948
V1407703,2016-09,服务类,620.0,0.007564061193255053
V1407703,2016-09,鞋服配饰,60.0,0.0007320059219279083
V1407712,2016-02,服务用品,3216.56,1.0
V1407712,2016-03,VI,90.0,0.00809862323405021
V1407712,2016-03,办公,400.0,0.035993881040223163
V1407712,2016-03,印刷,408.0,0.03671375866102763
V1407712,2016-03,服务用品,9675.0,0.8706019976603977
V1407712,2016-03,服务类,540.0,0.04859173940430127
V1407712,2016-04,办公,650.0,0.040678237643515955
V1407712,2016-04,服务用品,14754.06,0.9233371675179892
V1407712,2016-04,服务类,575.0,0.03598459483849488
V1407712,2017-04,办公,250.0,0.018561140396465958
V1407712,2017-04,服务用品,12999.0,0.965105056054644
V1407712,2017-04,服务类,220.0,0.016333803548890045
V1407715,2016-02,VI,140.0,0.011176306230790724
V1407715,2016-02,办公,207.5,0.01656488244920768
V1407715,2016-02,印刷,11739.0,0.9371332774518022
V1407715,2016-02,服务类,440.0,0.035125533868199416
V1407715,2016-03,VI,11450.0,0.3807528598031391
V1407715,2016-03,办公,655.0,0.021781058792231977
V1407715,2016-03,印刷,16648.0,0.5536046820963022
V1407715,2016-03,服务用品,240.0,0.007980845969672785
V1407715,2016-03,服务类,1079.0,0.0358805533386539
V1407715,2016-10,VI,2824.0,0.1451778737404894
V1407715,2016-10,办公,191.5,0.009844746041538146
V1407715,2016-10,印刷,16301.5,0.8380372198231544
V1407715,2016-10,服务类,135.0,0.006940160394818013
V1407715,2017-12,VI,1307.0,0.13731948581364684
V1407715,2017-12,办公,440.0,0.04622844204897063
V1407715,2017-12,印刷,6915.95,0.7266218040649509
V1407715,2017-12,服务用品,480.0,0.050431027689786134
V1407715,2017-12,服务类,375.0,0.03939924038264542
V1407717,2016-11,消防安防,21510.0,1.0
V1407717,2018-01,消防安防,2440.0,1.0
