EmployeeID,Vendor,start,end,count
200001300,北京XXXX汽车,2016-12-02,2016-12-04,25
152023226,出租XXXX租车,2017-03-25,2017-03-26,25
152011289,北京XXXX租车,2016-11-26,2016-12-03,25
152023226,出租XXXX租车,2017-03-25,2017-03-26,24
152017444,中国XXXX高铁,2016-12-17,2016-12-18,24
152011289,北京XXXX租车,2016-11-26,2016-12-03,24
200001300,北京XXXX汽车,2016-12-02,2016-12-04,24
152035033,北京XXXX公司,2016-11-07,2016-11-08,24
152024864,出租XXXX租车,2016-12-02,2016-12-09,24
152030074,广州XXXX的士,2016-12-03,2016-12-10,24
152052857,中国XXXX铁路,2017-04-07,2017-04-09,24
152034703,中国XXXX道部,2017-03-24,2017-03-26,24
200002343,出租XXXX租车,2016-12-03,2016-12-10,24
152014163,北京XXXX租车,2017-02-26,2017-02-26,24
152030074,广州XXXX的士,2016-12-17,2016-12-18,24
152014163,北京XXXX租车,2017-03-29,2017-03-29,24
152047393,广铁XXXX集团,2016-12-14,2016-12-15,24
200000127,中国XXXX铁路,2017-02-25,2017-03-04,24
152008057,中国XXXX铁路,2016-10-23,2016-10-23,24
152035033,北京XXXX公司,2016-11-07,2016-11-08,23
152023226,出租XXXX租车,2017-03-25,2017-03-26,23
200000127,中国XXXX铁路,2017-02-25,2017-03-04,23
152011289,北京XXXX租车,2016-11-26,2016-12-03,23
152024864,出租XXXX租车,2016-12-02,2016-12-09,23
152014163,北京XXXX租车,2017-02-26,2017-02-26,23
152030074,广州XXXX的士,2016-12-03,2016-12-10,23
152008057,中国XXXX铁路,2016-10-23,2016-10-23,23
152017444,中国XXXX高铁,2016-12-17,2016-12-18,23
152047393,广铁XXXX集团,2016-12-14,2016-12-15,23
152030074,广州XXXX的士,2016-12-17,2016-12-18,23
152034703,中国XXXX道部,2017-03-24,2017-03-26,23
200002343,出租XXXX租车,2016-12-03,2016-12-10,23
200001300,北京XXXX汽车,2016-12-02,2016-12-04,23
152021006,北京XXXX公司,2016-10-29,2016-10-29,23
152014163,北京XXXX租车,2017-03-29,2017-03-29,23
152052857,中国XXXX铁路,2017-04-07,2017-04-09,23
152017444,中国XXXX高铁,2016-12-17,2016-12-18,22
152047393,广铁XXXX集团,2016-12-14,2016-12-15,22
152023226,出租XXXX租车,2017-03-25,2017-03-26,22
152030074,广州XXXX的士,2016-12-04,2016-12-11,22
152008057,中国XXXX铁路,2016-10-23,2016-10-23,22
152018710,中国XXXX铁路,2016-10-13,2016-10-20,22
152024864,出租XXXX租车,2016-12-02,2016-12-09,22
152052857,中国XXXX铁路,2017-04-08,2017-04-09,22
152021006,北京XXXX公司,2016-10-29,2016-10-29,22
200001300,北京XXXX汽车,2016-12-02,2016-12-04,22
152030074,广州XXXX的士,2016-12-17,2016-12-18,22
152022202,中国XXXX铁路,2016-12-17,2016-12-19,22
152030074,广州XXXX的士,2016-12-03,2016-12-10,22
152018710,中国XXXX铁路,2016-10-15,2016-10-22,22
152014163,北京XXXX租车,2017-03-29,2017-03-29,22
200002343,出租XXXX租车,2016-12-03,2016-12-10,22
152020627,铁路XXXX铁路,2016-11-11,2016-11-13,22
200000127,中国XXXX铁路,2017-02-25,2017-03-04,22
152035033,北京XXXX公司,2016-11-07,2016-11-08,22
152034703,中国XXXX道部,2017-03-24,2017-03-26,22
152011289,北京XXXX租车,2016-11-27,2016-12-03,22
152014163,北京XXXX租车,2017-02-26,2017-02-26,22
152030074,广州XXXX的士,2016-12-04,2016-12-11,21
152018710,中国XXXX铁路,2016-10-15,2016-10-22,21
152018710,中国XXXX铁路,2016-10-13,2016-10-20,21
152030074,广州XXXX的士,2016-12-17,2016-12-18,21
152023226,出租XXXX租车,2017-03-25,2017-03-26,21
200000496,重庆XXXX公司,2016-10-28,2016-10-29,21
152030074,广州XXXX的士,2016-12-03,2016-12-10,21
200000127,中国XXXX铁路,2017-02-25,2017-03-04,21
200001300,北京XXXX汽车,2016-12-02,2016-12-04,21
152024864,出租XXXX租车,2016-11-26,2016-12-03,21
152035033,北京XXXX公司,2016-11-07,2016-11-08,21
152014163,北京XXXX租车,2017-03-29,2017-03-29,21
152020627,铁路XXXX铁路,2016-11-11,2016-11-13,21
152034703,中国XXXX道部,2017-03-24,2017-03-26,21
152011289,北京XXXX租车,2016-11-27,2016-12-03,21
152008057,中国XXXX铁路,2016-10-23,2016-10-23,21
200002343,出租XXXX租车,2016-12-04,2016-12-10,21
152047393,广铁XXXX集团,2016-12-14,2016-12-15,21
152024864,出租XXXX租车,2016-12-02,2016-12-09,21
152017444,中国XXXX高铁,2016-12-17,2016-12-18,21
152021006,北京XXXX公司,2016-10-29,2016-10-29,21
152022202,中国XXXX铁路,2016-12-17,2016-12-19,21
152014163,北京XXXX租车,2017-02-26,2017-02-26,21
152052857,中国XXXX铁路,2017-04-08,2017-04-09,21
152011289,北京XXXX租车,2016-11-27,2016-12-03,20
200002343,出租XXXX租车,2016-12-04,2016-12-10,20
200000496,重庆XXXX公司,2016-10-28,2016-10-29,20
152024864,出租XXXX租车,2016-12-03,2016-12-10,20
152035033,北京XXXX公司,2016-11-07,2016-11-08,20
152030074,广州XXXX的士,2016-12-17,2016-12-18,20
152030074,广州XXXX的士,2016-12-03,2016-12-10,20
152023226,出租XXXX租车,2017-03-25,2017-03-26,20
200000127,中国XXXX铁路,2017-02-26,2017-03-04,20
200000127,神州XXXX专车,2016-11-10,2016-11-13,20
152024864,出租XXXX租车,2016-12-02,2016-12-09,20
200001300,北京XXXX汽车,2016-12-02,2016-12-04,20
152017444,中国XXXX高铁,2016-12-17,2016-12-18,20
152025446,中国XXXX铁路,2016-12-09,2016-12-16,20
152008057,中国XXXX铁路,2016-10-23,2016-10-23,20
152039501,神州XXXX建）,2017-03-09,2017-03-09,20
152022202,中国XXXX铁路,2016-12-17,2016-12-19,20
152024864,出租XXXX租车,2016-11-26,2016-12-03,20
152020627,铁路XXXX铁路,2016-11-11,2016-11-13,20
152020616,中国XXXX铁路,2017-04-24,2017-04-25,20
200001356,中国XXXX铁路,2016-11-17,2016-11-19,20
152034703,中国XXXX道部,2017-03-24,2017-03-26,20
152014163,北京XXXX租车,2017-03-29,2017-03-29,20
152052857,中国XXXX铁路,2017-04-08,2017-04-09,20
152047393,广铁XXXX集团,2016-12-14,2016-12-15,20
152021006,北京XXXX公司,2016-10-29,2016-10-29,20
152014163,北京XXXX租车,2017-02-26,2017-02-26,20
152018710,中国XXXX铁路,2016-10-19,2016-10-22,20
152030074,广州XXXX的士,2016-12-03,2016-12-10,19
152023226,出租XXXX租车,2017-03-25,2017-03-26,19
152014163,北京XXXX租车,2017-02-26,2017-02-26,19
152052857,中国XXXX铁路,2017-04-08,2017-04-09,19
152021006,北京XXXX公司,2016-10-29,2016-10-29,19
200000769,高铁XXXX公司,2016-10-21,2016-10-28,19
152022202,中国XXXX铁路,2016-12-17,2016-12-19,19
152030074,广州XXXX的士,2016-12-02,2016-12-04,19
152008057,中国XXXX铁路,2016-10-23,2016-10-23,19
