CUSTOMER_CODE,DELIVERY_CODE,total_amount,order_date,z
C01243000,LG1608048816,575780.0,2016-11-01,3.6129547309531556
C01258000,LG1604017020,212370.0,2016-12-01,3.389921495784028
C01258000,LG1611016368,200000.0,2017-04-02,3.1296661047243077
C01270000,LG1602034943,176530.0,2016-05-14,3.345933009499658
C01306000,LG1601013611,251920.0,2016-03-30,4.429212805805966
C01306000,LG1607040541,191970.0,2016-10-08,3.1367234455400665
C01306000,LG1701037548,241080.0,2017-04-12,4.195508307636119
C01349000,LG1702039721,130565.0,2017-05-13,3.752199106812876
C01355000,LG1705015856,270197.0,,3.555350041789326
C01361000,LG1603037656,191800.0,2016-03-26,4.377972593893581
C01374000,LG1601052049,601050.0,2016-04-23,4.489965737302058
C01374000,LG1603056551,648000.0,2016-04-23,4.907978303553251
C01374000,LG1702048152,482880.0,2017-03-16,3.4378561536193444
C01391000,LG1601021095,316122.0,2016-06-06,3.587716442914341
C01542000,LG1606056686,377720.0,2016-11-14,4.150249696950474
C01542000,LG1702042479,318960.0,2017-03-22,3.346662415702529
C01671000,LG1701024985,414056.0,2017-04-12,7.4743202239432565
C01674000,LG1607060049,616200.0,2016-08-11,4.237011449680584
C01683000,LG1603074444,151660.0,2016-04-15,3.0760977674116017
C01683000,LG1612033913,155832.0,2017-01-17,3.186702211373282
C01683000,LG1702041004,157956.0,2017-04-15,3.2430118563815773
C01683000,LG1705011034,176831.0,,3.7434094785715843
C01694000,LG1612060961,372125.0,2017-02-28,3.901057723370048
C01694000,LG1703036633,309776.0,2017-04-27,3.079849259284135
C01697000,LG1601046455,233235.0,2016-03-08,3.1302325508348936
C01697000,LG1603030774,293465.0,2016-04-05,4.261119683058474
C01712000,LG1512065058,540895.0,2016-01-22,3.0282594998732724
C01712000,LG1612052505,562230.0,2017-02-24,3.1807942492710835
C01721000,LG1604034787,150250.0,2016-05-31,3.1397117007988116
C01727000,LG1605067778,384350.0,2016-07-19,4.590040887412287
C01727000,LG1607060138,292750.0,2016-11-02,3.300761783402191
C01727000,LG1612071941,359337.0,2017-03-21,4.23798042640132
C01727000,LG1703022043,279940.0,2017-05-26,3.1204597602322206
C01727000,LG1703057585,417500.0,2017-05-26,5.056630432149564
C01734000,LG1701040952,214050.0,2017-02-24,4.013329557895
C01736000,LG1601010750,544100.0,2016-03-15,3.769459445613744
C01736000,LG1601011527,532900.0,2016-03-15,3.676670496364181
C01736000,LG1601012468,458000.0,2016-03-15,3.0561443982577265
C01736000,LG1602022515,470080.0,2016-04-11,3.1562239078054697
C01736000,LG1605059561,587950.0,2016-08-05,4.132744751381008
C01736000,LG1606047440,650900.0,2016-08-27,4.654268354529222
C01736000,LG1606062014,654400.0,2016-09-10,4.683264901169711
C01736000,LG1607060045,706300.0,2016-08-27,5.113242264210098
C01736000,LG1607065128,480000.0,2016-09-29,3.2384084057122258
C01736000,LG1607065129,1192000.0,2016-11-01,9.13713446514875
C01736000,LG1608056931,485594.0,2016-11-01,3.284753171971338
C01736000,LG1701011218,598000.0,2017-02-20,4.216006263877268
C01736000,LG1701040326,462800.0,2017-02-21,3.0959110907932534
C01736000,LG1703041551,461400.0,2017-04-12,3.084312472137058
C01736000,LG1703069039,832800.0,2017-05-24,6.161260307073469
C01736000,LG1704037813,-832800.0,,-7.637782002754442
C01739000,LG1612063280,260172.0,2017-03-14,4.0815945124809065
C01776000,LG1611038013,-417200.0,,-3.401474115485592
C01780000,LG1607059970,263800.0,2016-08-10,4.215662803780794
C01787000,LG1601050683,248680.0,2016-05-31,3.392396787877946
C01809000,LG1608061464,227390.0,2016-10-21,4.006138297037807
C01809000,LG1701039217,230445.0,2017-05-04,4.074319040031042
C01823000,LG1606056769,247400.0,2016-08-31,4.026860613894945
C01823000,LG1608065353,200440.0,2016-11-10,3.0808705276805957
C01839000,LG1703060610,595212.0,,6.522856481833066
C01863000,LG1512067678,111520.0,2016-01-13,3.538732784386418
C01864000,LG1702024084,463640.0,2017-03-10,4.126187387229025
C01868000,LG1603040956,458420.0,2016-05-31,3.040932053679791
C01868000,LG1603045151,484730.0,2016-07-09,3.259101671695975
C01871000,LG1608068220,709250.0,2016-09-20,3.175613022943186
C01871000,LG1608068221,728400.0,2017-03-14,3.2902729078607353
C01872000,LG1604071280,499880.0,2016-05-17,3.544137208081208
C01872000,LG1608046697,1099665.0,2016-08-29,8.574760730750317
C01872000,LG1612033782,461020.0,2017-01-06,3.218203698422044
C01874000,LG1608061243,178290.0,2016-11-02,3.8576673465779607
C01874000,LG1705015584,151810.0,,3.149722224061798
C01875000,LG1603035655,261650.0,2016-03-26,3.9281745367208836
C01876000,LG1612061507,226471.0,2017-02-28,3.044689976028485
C01878000,LG1512056385,796650.0,2016-02-23,3.8457444212978538
C01878000,LG1603010646,926830.0,2016-03-11,4.633949873610109
C01878000,LG1612034100,682656.0,2016-12-21,3.1555409159138996
C01878000,LG1701005776,693350.0,2017-01-18,3.220290256112296
C01879000,LG1512068187,421150.0,2016-04-19,3.5633308226027083
C01879000,LG1604044053,377000.0,2016-05-09,3.1176929892684693
C01879000,LG1612043198,575260.0,2017-02-24,5.118874344576424
C01884000,LG1603044996,675150.0,2017-01-18,3.1424866668631917
C01894000,LG1601057003,486010.0,2016-02-24,3.2307512483947316
C01894000,LG1609024760,523296.0,2016-09-23,3.5664139599808067
C01896000,LG1601049914,470000.0,2016-02-29,3.700172063227133
C01896000,LG1603070590,519360.0,2016-04-25,4.1935140662179
C01896000,LG1608064159,431670.0,2016-09-23,3.3170724081494165
C01896000,LG1611022520,462368.0,2016-12-01,3.623891954498901
C01902000,LG1602034904,826300.0,2016-08-12,7.249487128868682
C01942000,LG1601030592,263710.0,2016-03-04,3.707122262217774
C01942000,LG1603034821,298965.0,2016-04-28,4.327784402563021
C01942000,LG1609053826,253100.0,2017-03-06,3.5203338546425913
C01944000,LG1603058259,185420.0,2016-04-29,3.1301038076427163
C01945000,LG1512069979,387235.0,2016-01-20,4.531900328169228
C01945000,LG1602035223,286300.0,2016-03-28,3.1032042943455056
C01946000,LG1701022414,284120.0,2017-01-19,3.733503063610292
C01948000,LG1705026149,351390.0,,4.130417823496573
C01961000,LG1608002127,274648.0,2016-08-22,3.020634621544144
C01972000,LG1603024762,472800.0,2016-05-05,3.926286976753498
C01974000,LG1603058247,282990.0,2016-07-06,3.0259206375488947
C01976000,LG1703042698,764550.0,,3.0179360508163433
C01978000,LG1602039565,199210.0,2016-05-14,3.3177276032377065
C01985000,LG1608065766,487700.0,2017-03-06,3.1713013925954106
C01985000,LG1608065770,511340.0,2017-04-05,3.359061514050634
C01989000,LG1612070982,506890.0,2017-04-25,3.6344553445187513
C02010000,LG1601035905,341685.0,2016-03-24,3.327913427495895
C02010000,LG1603039830,328400.0,2016-04-22,3.160195366262928
C02010000,LG1610049702,349300.0,2017-01-18,3.424049899930147
C02011000,LG1601032720,552750.0,2016-07-29,3.3399095212361107
C02029000,LG1604041655,240000.0,2016-05-31,3.156133943852728
C02029000,LG1607052339,425900.0,2016-09-22,6.274615895966057
C02031000,LG1702037048,307980.0,2017-05-05,3.1962154384675268
C02038000,LG1602035494,1210950.0,2016-03-21,4.816559691296564
C02050000,LG1601012634,873200.0,2016-01-26,4.0418633329386715
C02050000,LG1604035232,669675.0,2016-05-13,3.003196568895215
C02050000,LG1606049646,831000.0,2016-06-28,3.8265004171168617
C02050000,LG1607064594,900000.0,2016-08-26,4.178634094645414
C02050000,LG1607064595,815000.0,2016-08-26,3.7448462310232844
C02050000,LG1608024741,-585000.0,2016-08-26,-3.3998950521647235
C02050000,LG1608065410,687070.0,2016-10-14,3.0919699793388262
C02050000,LG1609056615,757400.0,2016-10-25,3.4508911610864064
C02050000,LG1610015446,-541000.0,2016-10-14,-3.175346040407386
C02050000,LG1610015466,-541000.0,2016-10-14,-3.175346040407386
C02050000,LG1610030522,676250.0,2016-10-25,3.0367513359930447
C02050000,LG1610057632,695185.0,2016-11-17,3.1333839618481623
C02069000,LG1703014071,58230.0,,7.055296393757036
C02075000,LG1601016877,237000.0,2016-04-11,3.7226361547364393
C02075000,LG1607064674,250320.0,2016-08-15,3.979427163148845
C02075000,LG1608068093,263890.0,2016-11-01,4.241037822620042
C02075000,LG1610053662,239583.0,2017-01-16,3.772432789475872
C02076000,LG1601025589,167100.0,2016-04-11,3.0726125593062
C02077000,LG1611028384,15000.0,,4.945762759167939
C02123000,LG1606032539,124000.0,2016-08-09,3.673905669241934
C02138000,LG1603041992,364690.0,2016-05-25,3.7727059977114967
C02142000,LG1609036941,93570.0,2016-11-09,3.542946697566789
C02150000,LG1608069517,195070.0,2016-10-19,3.0223356265740904
C02155000,LG1607060226,583500.0,2016-09-02,3.7463905288049113
C02159000,LG1606046548,229260.0,2016-07-19,3.0136296092801635
C02159000,LG1608070088,278480.0,2016-10-15,3.859016486382492
C02159000,LG1703015685,290080.0,2017-04-28,4.058254352582959
C02161000,LG1607013983,232710.0,2016-09-20,3.0988534656502242
C02173000,LG1607057542,453374.0,2016-08-02,3.9359797630422904
C02173000,LG1608056769,455600.0,2016-10-10,3.9589666937867336
C02173000,LG1705015348,489244.0,,4.3063936021272795
C02174000,LG1704047594,229545.0,,3.9627880451395106
C02181000,LG1601021092,200550.0,2016-04-19,4.411944515063939
C02213000,LG1603070557,457290.0,2016-04-19,3.4625742896993468
C02213000,LG1607060318,431800.0,2016-10-11,3.2259887006880166
C02213000,LG1607060342,542850.0,2016-10-11,4.256699946655384
C02213000,LG1608065794,482351.0,2016-10-11,3.695178112618646
C02222000,LG1610027751,513710.0,2016-10-26,3.162026380509185
C02247000,LG1602035754,453600.0,2016-04-11,4.268682739634074
C02247000,LG1608065377,359644.0,2016-10-13,3.20632693461059
C02257000,LG1605018746,104152.0,2016-05-19,3.7326902461986435
C02257000,LG1605018779,-104152.0,2016-05-14,-3.9831435022367376
C02263000,LG1512061196,407867.16000000003,2016-03-29,4.200708239641
C02270000,LG1606032568,146790.0,2016-08-19,4.101330149195982
C02312000,LG1607062670,271100.0,2016-08-26,3.383571482829616
C02312000,LG1611066191,359220.0,2016-12-21,4.729386592499683
C02312000,LG1612040505,279865.0,2017-01-17,3.5174351850113923
C02312000,LG1701024989,302800.0,2017-02-16,3.8677105996764283
C02312000,LG1701024991,256640.0,2017-02-16,3.162730737416212
C02316000,LG1608061561,155763.0,2016-09-23,3.7602017025823624
C02341000,LG1611031533,980000.0,2016-12-12,3.060113592633371
C02341000,LG1611066311,980000.0,2017-04-28,3.060113592633371
C02341000,LG1611066331,980000.0,2017-04-28,3.060113592633371
C02341000,LG1701016989,1030000.0,2017-03-15,3.2536953069304344
C02341000,LG1702048638,983920.0,2017-03-15,3.075290399034261
C02341000,LG1705026255,-954000.0,2017-05-31,-4.427627116377036
C02342000,LG1611039935,184738.0,2017-04-06,3.0623150982518204
C02352000,LG1601013684,635044.0,2016-08-31,3.5675682051446693
C02354000,LG1608066263,382557.0,2016-10-24,4.589766730365327
C02374000,LG1606015741,258120.0,2016-07-05,3.091841534696914
C02374000,LG1607055553,321260.0,2016-08-29,4.045881916885892
